WarNum,WarName,WarType,ccode,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2,EndYear2,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,number_of_days
106,World War I,1,345,Yugoslavia,1,7,29,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,70000,4,1566
106,World War I,1,365,Russia,1,8,1,1914,12,5,1917,-8,-8,-8,-8,-8,-8,-8,11,2,1,-8,1700000,4,1222
106,World War I,1,355,Bulgaria,2,10,12,1915,9,29,1918,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,87500,4,1083
106,World War I,1,200,UK,1,8,5,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,15,2,1,-8,908371,4,1559
106,World War I,1,740,Japan,1,8,23,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,300,4,1541
106,World War I,1,235,Portugal,1,3,1,1916,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,7222,4,985
106,World War I,1,640,Turkey,2,10,28,1914,10,30,1918,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,325000,4,1463
106,World War I,1,211,Belgium,1,8,4,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,13716,4,1560
106,World War I,1,255,Germany,2,8,1,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,15,2,2,-8,1773700,4,1563
106,World War I,1,350,Greece,1,6,29,1917,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,5000,4,500
106,World War I,1,360,Romania,1,8,27,1916,12,9,1917,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,335706,4,469
106,World War I,1,300,Austria-Hungary,2,7,29,1914,11,3,1918,-8,-8,-8,-8,-8,-8,-8,2,1,2,-8,1200000,4,1558
106,World War I,1,220,France,1,8,3,1914,11,11,1918,-8,-8,-8,-8,-8,-8,-8,14,2,1,-8,1385000,4,1561
106,World War I,1,325,Italy,1,5,23,1915,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,650000,4,1268
106,World War I,1,2,USA,1,4,17,1917,11,11,1918,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,116516,4,573
139,World War II,1,365,USSR,1,6,22,1941,5,7,1945,8,8,1945,8,14,1945,-8,12,2,1,-8,7500000,4,1421
139,World War II,1,220,France,1,9,3,1939,6,22,1940,10,23,1944,8,14,1945,-8,2,2,1,-8,210824,4,588
139,World War II,1,310,Hungary,2,6,27,1941,1,20,1945,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,136000,4,1303
139,World War II,1,211,Belgium,1,5,10,1940,5,28,1940,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,9600,4,18
139,World War II,1,220,France,2,7,7,1940,7,14,1941,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,2500,4,372
139,World War II,1,345,Yugoslavia,1,4,6,1941,4,17,1941,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,305000,4,11
139,World War II,1,375,Finland,2,6,25,1941,9,19,1944,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,65000,4,1182
139,World War II,1,385,Norway,1,4,9,1940,6,9,1940,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,3000,4,61
139,World War II,1,20,Canada,1,9,10,1939,8,14,1945,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,41992,4,2165
139,World War II,1,2,USA,1,12,7,1941,8,14,1945,-8,-8,-8,-8,-8,-8,-8,19,2,1,-8,405400,4,1346
139,World War II,1,200,UK,1,9,3,1939,8,14,1945,-8,-8,-8,-8,-8,-8,-8,15,2,1,-8,418765,4,2172
139,World War II,1,210,Netherlands,1,5,10,1940,5,14,1940,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,7900,4,4
139,World War II,1,325,Italy,2,6,10,1940,9,2,1943,-8,-8,-8,-8,-8,-8,-8,14,2,2,-8,174500,4,1179
139,World War II,1,360,Romania,1,9,9,1944,5,7,1945,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,10000,4,240
139,World War II,1,360,Romania,2,6,22,1941,8,23,1944,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,290000,4,1158
139,World War II,1,355,Bulgaria,2,12,13,1941,9,8,1944,-8,-8,-8,-8,-8,-8,-8,2,2,2,-8,9000,4,1000
139,World War II,1,355,Bulgaria,1,9,9,1944,5,7,1945,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,1000,4,240
139,World War II,1,350,Greece,1,10,25,1940,4,23,1941,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,18300,4,180
139,World War II,1,140,Brazil,1,7,6,1944,5,7,1945,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,1000,4,305
139,World War II,1,325,Italy,1,10,18,1943,5,7,1945,-8,-8,-8,-8,-8,-8,-8,14,2,1,-8,52400,4,567
139,World War II,1,900,Australia,1,9,3,1939,8,14,1945,-8,-8,-8,-8,-8,-8,-8,16,2,1,-8,33826,4,2172
139,World War II,1,920,New Zealand,1,9,3,1939,8,14,1945,-8,-8,-8,-8,-8,-8,-8,16,2,1,-8,12200,4,2172
139,World War II,1,255,Germany,2,9,1,1939,5,7,1945,-8,-8,-8,-8,-8,-8,-8,14,1,2,-8,3500000,4,2075
139,World War II,1,290,Poland,1,9,1,1939,9,27,1939,-8,-8,-8,-8,-8,-8,-8,2,2,1,-8,320000,4,26
139,World War II,1,740,Japan,2,12,7,1941,8,14,1945,-8,-8,-8,-8,-8,-8,-8,17,2,2,-8,1740000,4,1346
139,World War II,1,712,Mongolia,1,8,10,1945,8,14,1945,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,3000,4,4
139,World War II,1,710,China,1,12,7,1941,8,14,1945,-8,-8,-8,-8,-8,-8,-8,7,2,1,-8,1350000,4,1346
139,World War II,1,560,South Africa,1,9,6,1939,8,14,1945,-8,-8,-8,-8,-8,-8,-8,4,2,1,-8,8700,4,2169
139,World War II,1,530,Ethiopia,1,1,24,1941,7,3,1941,-8,-8,-8,-8,-8,-8,-8,4,2,1,-8,5000,4,160
